date | value
2008-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 999.99
2011-01-03 | -1
2011-01-03 | 1001
2011-01-03 | abc
2011-01-03 | 2147483647
2011-01-03 | 1.23456789
2011-01-03 | 
2011-01-03
| 5
2011-01-09 | 10
2001-42-42 | 1
2012-01-11 | 1
2012-01-11 | -1
2012-01-11 | 12345678901234567890
2012-02-29 | 3
2013-02-29 | 1
2011-01-01 | 100
2011-12-31 | 0.5
2023-01-01 | 2
